Episode,Total Reward,Epsilon
1,-170.5678750838157,0.9994700000000024
2,-80.53366604772609,0.9986100000000063
3,-169.24591771013752,0.9974800000000115
4,-360.1817971993092,0.9964100000000163
5,-3.2635744823416672,0.9953700000000211
6,-172.82414051440333,0.9947000000000241
7,-151.89200823848984,0.9939400000000276
8,-123.33638224001221,0.9931000000000314
9,-270.31678461165626,0.9918200000000372
10,-186.05890586160518,0.9906100000000427
11,-283.50548287103237,0.9898800000000461
12,-176.10298115335513,0.9890300000000499
13,-159.66918517420908,0.9880300000000545
14,-269.6866079087573,0.9870800000000588
15,-208.1522447342583,0.985940000000064
16,-47.80523176323255,0.9849900000000683
17,-81.12246500823578,0.9842400000000717
18,-119.42953219074964,0.9831600000000766
19,-228.5469353466596,0.9819000000000824
20,-152.74434669021258,0.9811700000000857
21,-143.3645649023494,0.9800900000000906
22,-283.1287294045096,0.9789500000000958
23,-358.13965058874743,0.9778300000001009
24,-216.3480649870919,0.9767600000001058
25,-72.26125431412616,0.9761300000001086
26,-95.82540522002132,0.9753600000001121
27,-117.19119906261938,0.9746000000001156
28,-155.89876693346991,0.9737200000001196
29,25.03852691092179,0.9726100000001247
30,-158.43736826800279,0.9717300000001287
31,-101.55444737490632,0.9708700000001326
32,-221.65326835896104,0.969900000000137
33,-143.5077377489593,0.9686800000001425
34,-120.07475374024332,0.9677800000001466
35,-154.27826607333543,0.9667900000001511
36,-77.14825328633549,0.9658300000001555
37,-203.40212879542668,0.9644700000001617
38,-110.9372473566523,0.9638000000001647
39,-286.3982507050882,0.9627000000001698
40,-143.62381804635254,0.9616700000001744
41,-227.0004139259573,0.960670000000179
42,-59.02686481211509,0.9600400000001819
43,-170.23125323228496,0.9588600000001872
44,-127.99250801168652,0.9580900000001907
45,-269.41652730879787,0.9571000000001952
46,2.269419217005563,0.9560400000002001
47,-93.00757188914947,0.955170000000204
48,-159.44275651197012,0.9541400000002087
49,-205.03337547430095,0.953200000000213
50,-302.07372357645545,0.952100000000218
51,-97.8179238184478,0.9513600000002214
52,-141.26413058377582,0.9508000000002239
53,-240.85351575850308,0.9496300000002292
54,-67.33811215750708,0.9489700000002322
55,-85.18440408163943,0.9480100000002366
56,-242.712663428643,0.9467000000002426
57,-135.01933375264883,0.9456200000002475
58,-186.44773021972458,0.944620000000252
59,-258.2934706400207,0.9437100000002562
60,-301.3110620400669,0.9426100000002612
61,-383.92091441687717,0.9416700000002655
62,-63.19913170134488,0.94067000000027
63,-390.99819821912274,0.9396800000002745
64,-72.3183813916012,0.9390300000002775
65,-113.86298575700961,0.9384100000002803
66,-212.92441220419113,0.9376800000002836
67,-134.30667693748438,0.9368800000002873
68,-112.57375853490471,0.9359300000002916
69,-207.18806169018418,0.9347800000002968
70,-113.62341939996534,0.9339100000003008
71,-53.18838458790698,0.9330600000003046
72,-163.44514667919123,0.9322500000003083
73,-105.56530741287665,0.931450000000312
74,-65.8290999902932,0.9307300000003152
75,-279.46336157574814,0.9295800000003205
76,-131.6102461021482,0.9288900000003236
77,-131.68945031417127,0.9279900000003277
78,-114.3944076990708,0.9269800000003323
79,-284.45130819774056,0.9261500000003361
80,-71.01270832907844,0.9253700000003396
81,-95.01190196759448,0.9241600000003451
82,-151.79641875927268,0.9234700000003483
83,-137.24802887082254,0.9226300000003521
84,-290.1870043018507,0.9216600000003565
85,-378.7851139999043,0.9205000000003618
86,-98.08122242626304,0.9197100000003654
87,-97.96120402595423,0.9189400000003689
88,-122.5025995711118,0.9179100000003736
89,-104.6368048038171,0.9166300000003794
90,-125.1187949155696,0.9157000000003837
91,-67.61259227270033,0.9149400000003871
92,-64.2791072505837,0.9133600000003943
93,-130.27681739556007,0.9123100000003991
94,-69.20126050092577,0.911670000000402
95,-153.96190803920922,0.9108100000004059
96,-119.98930355923517,0.910130000000409
97,-58.744247549933206,0.9093600000004125
98,-135.2946926836805,0.908380000000417
99,-115.24037476588077,0.9074600000004212
100,-365.57902522253323,0.9064200000004259
101,-84.74076153906029,0.9055000000004301
102,-118.38602166340836,0.9048000000004333
103,7.5856779857348755,0.9040900000004365
104,-179.42204601061468,0.9029100000004419
105,-192.07388888306505,0.9021300000004454
106,-101.52864405783025,0.9009300000004509
107,-163.16091972482755,0.9001600000004544
108,-129.21634355366746,0.8991600000004589
109,-88.17189758323678,0.8979900000004643
110,-112.97982122854255,0.8970600000004685
111,-93.15472219017886,0.8961900000004724
112,-115.34482025639431,0.8951000000004774
113,-117.85605489481715,0.8939800000004825
114,-118.38114293633403,0.8932800000004857
115,-51.252883195707646,0.8925300000004891
116,-79.96221461970914,0.8914800000004939
117,-233.88497493624604,0.8903300000004991
118,-82.79521496813936,0.8890900000005048
119,-196.12885306060974,0.8883300000005082
120,-110.3901052141349,0.8871500000005136
121,-137.99122549088855,0.8863300000005173
122,-110.87957600798205,0.8852300000005223
123,-96.72325955121116,0.8844500000005259
124,-196.623415718464,0.8836100000005297
125,-59.07630509375015,0.8824000000005352
126,-45.93776949624032,0.8817000000005384
127,-126.65413211733986,0.8809300000005419
128,-34.622627537948176,0.8799300000005464
129,-184.8544007953622,0.8786400000005523
130,-352.82360931494793,0.8774700000005576
131,-58.91689265936809,0.876280000000563
132,-63.28146039046784,0.8753200000005674
133,-177.89693619598592,0.8742600000005722
134,-94.61976590182819,0.8732900000005767
135,-177.3437662013177,0.8725700000005799
136,-176.7287420704734,0.8713900000005853
137,-61.83748377716543,0.8707000000005884
138,-210.16729667035446,0.8699500000005919
139,-67.16152123790944,0.8693100000005948
140,-262.77143456515597,0.8681200000006002
141,-145.66090356248472,0.8670300000006051
142,-113.89117290596153,0.8662700000006086
143,-154.4418708069576,0.8650500000006142
144,-109.2153317993596,0.8643100000006175
145,-389.8825253846938,0.8632200000006225
146,-217.14450454276545,0.8619100000006285
147,-65.15384771867822,0.8611600000006319
148,-190.0591623554905,0.8603500000006356
149,-88.04325656463294,0.8594100000006398
150,-129.97152519808827,0.8582900000006449
151,-82.29281718413864,0.8572800000006495
152,-158.92862118822455,0.8564400000006533
153,-81.05173935986974,0.8553000000006585
154,-135.924917675573,0.8546900000006613
155,17.817760196028644,0.8534600000006669
156,-115.95322098260299,0.8522600000006724
157,-233.16556712994176,0.8513500000006765
158,-104.71809535233791,0.8500300000006825
159,-91.03186798139573,0.8491500000006865
160,-142.88855608043028,0.8483600000006901
161,-131.64572471089284,0.8473600000006947
162,-310.3029226918111,0.8463800000006991
163,-106.98572456249394,0.8452800000007041
164,-148.71878047482681,0.844440000000708
165,-67.81712484418262,0.843770000000711
166,25.62475968411158,0.8422900000007177
167,-114.65631393071307,0.8411200000007231
168,-90.4744189645238,0.8401900000007273
169,-111.00026373406386,0.8390300000007326
170,-76.70324605117122,0.8381600000007365
171,-74.94631662691762,0.8371400000007412
172,-149.1126044543845,0.8357200000007476
173,-282.80224590205944,0.8344300000007535
174,-223.1334557265514,0.8332500000007589
175,-84.25439867342702,0.8324500000007625
176,-81.43777316718189,0.8316300000007663
177,-107.64980975841645,0.8309800000007692
178,-89.37156618338423,0.8302900000007724
179,-120.7341117983404,0.8293800000007765
180,-151.0897324522319,0.8285300000007804
181,-67.00630892025995,0.8275700000007847
182,-79.49982845450417,0.826850000000788
183,-74.86018417173392,0.8258000000007928
184,-40.71949742753195,0.8249000000007969
185,-76.64251784328766,0.8241700000008002
186,-180.89728676779356,0.8231700000008048
187,-63.486038296513826,0.8217800000008111
188,-71.37432986548804,0.820920000000815
189,-71.92372648199019,0.8203000000008178
190,-238.71604382560935,0.8192300000008227
191,-127.97228101773126,0.8182300000008272
192,-92.79191221668817,0.8173000000008315
193,-23.58748072628009,0.8158100000008383
194,-75.42987384873707,0.8145100000008442
195,-74.4523848250031,0.813660000000848
196,-156.46830687140408,0.8126300000008527
197,-104.29949864056594,0.8114000000008583
198,-103.69039297150834,0.8103200000008632
199,-87.96670437246846,0.8090900000008688
200,-147.5776092295298,0.8082900000008725
201,-109.84297426071979,0.8071600000008776
202,-110.62295050660573,0.8063500000008813
203,-49.01423568883651,0.8054300000008855
204,-42.12053867270495,0.8046400000008891
205,-74.62199150369189,0.8031600000008958
206,-46.50964691542765,0.8022100000009001
207,-81.65094429910506,0.8012400000009046
208,-74.22752284206791,0.8005500000009077
209,-91.87597601475439,0.7993300000009133
210,-118.93525624317294,0.7984500000009173
211,-36.20617138587297,0.7971200000009233
212,-117.37470400568488,0.7959000000009289
213,-110.34614739259021,0.795210000000932
214,-116.11172241245461,0.7943600000009359
215,-72.71760146639247,0.7931800000009412
216,-138.1700334059085,0.7920600000009463
217,-45.74976314239014,0.7908500000009518
218,-42.99221008438818,0.7900500000009555
219,-121.31271302166763,0.78907000000096
220,-81.37831790850933,0.7878200000009656
221,-52.27098250396677,0.7867100000009707
222,-69.24504051602504,0.7855200000009761
223,-181.12761284587003,0.7843700000009813
224,-104.60272381056018,0.7836500000009846
225,-36.48667266476588,0.7827900000009885
226,-79.60153576312376,0.7819100000009925
227,-82.17996149043628,0.7807500000009978
228,-69.77641141596214,0.7795400000010033
229,-81.97428431743843,0.7782300000010093
230,-67.61442946566233,0.7771700000010141
231,-58.447505362274406,0.7758400000010202
232,-45.971847129013156,0.7748500000010247
233,-194.86485631776685,0.7738800000010291
234,-34.652505876188556,0.7727100000010344
235,-195.7208267530836,0.7714600000010401
236,-128.6259747264354,0.7704700000010446
237,-97.03400813259259,0.7693100000010499
238,-37.97271738402963,0.7682300000010548
239,-71.60967203945788,0.7673700000010587
240,-228.7673955720324,0.7663900000010632
241,-94.78912264059373,0.7655900000010668
242,-123.04294201964315,0.7645400000010716
243,-84.00056522513299,0.7637100000010754
244,-53.9929474610619,0.7628300000010794
245,-59.353635364410344,0.7615800000010851
246,-83.43388626640902,0.7605600000010897
247,-53.65192799223988,0.7592900000010955
248,-86.62768585129564,0.7579400000011016
249,-77.09448006664641,0.7573300000011044
250,-79.393424851457,0.7565800000011078
251,-80.35108581666115,0.7554600000011129
252,-80.93987809839159,0.7541500000011189
253,-99.2451276518732,0.7530000000011241
254,-98.87482138468057,0.7522600000011275
255,-59.738413641214564,0.7514700000011311
256,-54.762990794004544,0.7504600000011357
257,-128.91558976667577,0.7491800000011415
258,-73.69006220935802,0.7480500000011466
259,-94.82317912947383,0.7469400000011517
260,-95.20738346697425,0.7458600000011566
261,-107.97182765908825,0.7446300000011622
262,-46.31355497060651,0.7433900000011678
263,-215.49586900643442,0.742470000001172
264,-95.85554659113822,0.7411100000011782
265,-80.19746769335626,0.7401400000011826
266,-117.05155842121454,0.7386900000011892
267,-46.835467162333146,0.7375900000011942
268,-54.33865388154207,0.7366500000011985
269,-119.7857697508673,0.7353600000012044
270,-56.940523735582836,0.7344600000012085
271,-61.36721571736372,0.7332100000012142
272,3.478890223752316,0.7316500000012213
273,-72.23723374178134,0.7307900000012252
274,-50.41145590665516,0.7296000000012306
275,-110.88220175134622,0.7287200000012346
276,-86.71978393096721,0.7277400000012391
277,-114.83063358471172,0.7266400000012441
278,-43.64439727201069,0.7256100000012488
279,-31.927835150840608,0.7247100000012529
280,-70.10377382669606,0.7235200000012583
281,-70.08595972642512,0.722480000001263
282,-120.42569830264001,0.721610000001267
283,-78.9747292481844,0.7202400000012732
284,8.703295845477001,0.7102400000013187
285,-114.49173840862424,0.7092700000013231
286,-155.4041198426988,0.7080500000013287
287,-77.95463590489828,0.7074400000013314
288,-85.16348312246654,0.7065600000013355
289,-127.24430240414597,0.7056900000013394
290,-67.4087697332069,0.7047900000013435
291,-87.23706284241058,0.7037400000013483
292,-71.36453774028217,0.7026600000013532
293,-13.069196483614832,0.7009800000013608
294,-92.21866783535742,0.6999600000013655
295,-103.68351206790395,0.6988900000013704
296,-236.91643260954112,0.6973100000013776
297,-31.076308879408813,0.6961700000013827
298,-71.38778423245085,0.6953400000013865
299,-110.18227992059772,0.6942700000013914
300,-126.23447299862563,0.6931100000013967
301,-15.921729535389773,0.6918400000014024
302,-93.6796072192348,0.6907400000014075
303,-82.50688667385549,0.6895000000014131
304,-67.33935710163517,0.6881100000014194
305,-72.22263921150986,0.6866200000014262
306,-63.62532787672241,0.6858600000014297
307,-83.04267269237383,0.6846700000014351
308,-59.194853481747806,0.6835100000014404
309,-15.354293851503584,0.6822300000014462
310,-44.73657036685895,0.6810100000014517
311,-33.374565583220246,0.6799500000014566
312,-67.67926435833539,0.6788600000014615
313,-85.58262695852365,0.6777700000014665
314,-117.97349174133319,0.6769100000014704
315,-74.78442419142041,0.6761800000014737
316,-75.25233829843555,0.6748300000014799
317,-72.45916413476911,0.6740000000014836
318,-59.09455791949479,0.6728500000014889
319,-41.22244586818664,0.671730000001494
320,-64.15392792240556,0.6709100000014977
321,-77.12578839027395,0.669960000001502
322,-124.06244913055164,0.6684700000015088
323,-57.20047666418683,0.6676400000015126
324,-38.80025943936991,0.6666400000015171
325,-39.00811529605045,0.6659300000015204
326,-16.145136970001616,0.6645500000015266
327,-71.10647883715501,0.6636200000015309
328,-28.46563330511158,0.6624500000015362
329,-55.601881425384676,0.6616000000015401
330,-85.32621699103336,0.6608400000015435
331,-89.92475528839917,0.6596200000015491
332,-101.91318499632666,0.6587000000015533
333,-53.771876963682864,0.6577000000015578
334,-84.07943562901956,0.6569300000015613
335,-83.20479894619223,0.6556300000015672
336,-92.09455116573119,0.6545200000015723
337,-27.503138099617814,0.653270000001578
338,-112.76977217192623,0.6522500000015826
339,-76.90715481425786,0.651070000001588
340,-88.92766537685416,0.6502100000015919
341,-28.483765412594437,0.6492900000015961
342,-71.836187453612,0.6481400000016013
