Episode,Total Reward,Epsilon
1,-90.04996694318096,0.9999599999999997
2,-129.06112733393314,0.999539999999997
3,-130.33785886978546,0.999084999999994
4,-208.2739678553828,0.9987499999999918
5,-143.13681500767535,0.9982949999999888
6,-384.3240425070759,0.9976849999999848
7,-218.31247848218032,0.9971999999999817
8,-140.41186088727488,0.9965499999999774
9,-120.6379490957504,0.9961549999999748
10,-452.8925090866383,0.9955849999999711
11,-103.43109148598383,0.9951599999999683
12,-96.77633584466568,0.994809999999966
13,-218.02353925019992,0.994344999999963
14,-110.62592517925637,0.9939849999999606
15,-170.55626801880703,0.9936099999999581
16,-167.85975285254,0.9930349999999544
17,-125.18697614219998,0.9924949999999508
18,-300.3439374790716,0.992064999999948
19,-408.17935115378884,0.9915499999999446
20,-68.01972265568352,0.9912549999999427
21,-257.9703149079005,0.9905799999999383
22,-145.85175979971746,0.9901499999999355
23,-264.9966838059981,0.9896599999999323
24,-109.75645789872411,0.9893499999999302
25,-199.3132556864863,0.9889449999999276
26,-196.79917212052123,0.9884499999999243
27,-136.18557299165386,0.9880149999999215
28,-189.39031182077167,0.9875199999999182
29,-120.96996217936777,0.987179999999916
30,-164.75886057836135,0.9866499999999125
31,-134.4900399345992,0.9860849999999088
32,-227.96836501004867,0.9856649999999061
33,-166.15366600840767,0.9852199999999032
34,-130.66651664171263,0.9848349999999007
35,-161.54641540872223,0.9844199999998979
36,-149.67860049604943,0.9841049999998959
37,-65.9538899554873,0.983514999999892
38,-154.43009365312741,0.9829149999998881
39,-159.82999543819932,0.9824899999998853
40,-244.03024488084554,0.9821099999998828
41,-98.58303239782748,0.9815099999998789
42,-314.50059484650467,0.9809549999998752
43,-185.89256331052977,0.9805049999998723
44,-252.2093159390989,0.9798599999998681
45,-284.30740112377464,0.9793599999998648
46,-359.56546967259084,0.9789149999998619
47,-138.41890219684,0.9783899999998584
48,-305.57834230424,0.9777599999998543
49,-257.4975402811674,0.9772899999998512
50,-209.97714840122694,0.9769299999998489
51,-335.8627705939534,0.9764349999998456
52,-86.13638541709975,0.9758599999998419
53,-212.0425734775458,0.9753349999998384
54,-111.84663683296091,0.9749099999998356
55,-145.23571510322785,0.9744699999998327
56,-121.90107829134664,0.973899999999829
57,-172.79452880833966,0.9735749999998269
58,-235.74219031491685,0.9729649999998229
59,-177.50623876523488,0.9724749999998197
60,-209.3324456923864,0.9721549999998176
61,-254.35706893911814,0.9715299999998135
62,-296.32060048183655,0.9710449999998103
63,-152.95902640897648,0.9705999999998074
64,-131.8059190269865,0.9701099999998042
65,-87.57837243053777,0.9695649999998006
66,-248.6020095290172,0.9687849999997955
67,-13.494277679870322,0.9681849999997916
68,-94.460692138645,0.9677749999997889
69,-375.8300375948466,0.967184999999785
70,-217.57354737805838,0.9665099999997806
71,-167.973067668367,0.9662099999997786
72,-227.3442813968358,0.9656449999997749
73,-47.775132443960594,0.9652099999997721
74,-97.19458597267804,0.9647699999997692
75,-124.9269642982725,0.9643049999997662
76,-184.13122705135714,0.9638399999997631
77,-65.64912734568337,0.9634499999997606
78,-97.8195676989297,0.9630199999997577
79,-35.51991852412017,0.9626449999997553
80,-242.52841483217142,0.9621849999997523
81,-168.91333788819935,0.9616249999997486
82,-152.9358412884156,0.9611849999997457
83,-173.523626121651,0.9606949999997425
84,-95.69787379980686,0.9601799999997391
85,-316.9401453277892,0.9595399999997349
86,-131.72181475534308,0.9591149999997322
87,-324.09496596957706,0.9585449999997284
88,-114.52828114217999,0.9580949999997255
89,-93.44175772174526,0.9577399999997231
90,-69.55493757691448,0.9573449999997206
91,-187.6495357758399,0.9569249999997178
92,-66.91487183310502,0.956649999999716
93,-306.7048472241462,0.9562699999997135
94,-77.29602051143141,0.9557749999997103
95,-74.30570023087823,0.9552549999997069
96,-345.43893151272596,0.9547799999997038
97,-158.0681942616411,0.9544549999997016
98,-162.3634215944466,0.9540399999996989
99,-164.51362174221828,0.9533649999996945
100,-94.10345564690589,0.9529499999996918
101,-95.18803517064575,0.9526199999996896
102,-126.81363842822205,0.952069999999686
103,-138.8677759526666,0.9515899999996829
104,-183.9363502100452,0.9511149999996797
105,-86.50204353477102,0.9507749999996775
106,-198.13711892657332,0.950244999999674
107,-146.430445521563,0.949784999999671
108,-270.66536348356766,0.9492349999996674
109,-79.79348289261488,0.9488349999996648
110,-382.5825614776146,0.9483299999996615
111,-77.08208580871768,0.9477349999996576
112,-140.54836842085302,0.9474149999996555
113,-90.59002980127664,0.9468099999996515
114,-114.32060188013656,0.9461849999996474
115,-101.06849199648549,0.9458549999996453
116,-167.48264616479963,0.9453699999996421
117,-102.51228025907123,0.9449099999996391
118,-360.3406339593298,0.9443749999996356
119,-116.4292006022931,0.9438149999996319
120,-296.56552796149424,0.9433949999996292
121,-244.36042909251327,0.9428149999996254
122,-258.7516315766469,0.9422599999996217
123,-55.47979823278605,0.9414699999996166
124,-194.66481957602898,0.9408749999996127
125,-111.60823367226367,0.9404249999996097
126,-153.13804838434137,0.939849999999606
127,-77.95870856208863,0.939394999999603
128,-97.29551706529462,0.9390099999996004
129,-471.4973558592038,0.9384649999995969
130,-77.32479962360263,0.9381699999995949
131,-164.6136603829146,0.9378099999995926
132,-211.14025388845158,0.9372449999995889
133,-145.69607705247665,0.9367549999995857
134,-135.4089781288189,0.9362899999995826
135,-184.2152192276998,0.9359049999995801
136,-190.07198482248788,0.9353849999995767
137,-69.08220887774985,0.9350199999995743
138,-228.70146990736848,0.9344249999995704
139,-201.81879089148637,0.9339699999995674
140,-130.00940447605075,0.933454999999564
141,-375.91247797381965,0.9328549999995601
142,-115.6916746459973,0.9324099999995572
143,-83.85718088376647,0.932069999999555
144,-313.7388223500933,0.9315899999995518
145,-101.32108960498167,0.9309399999995476
146,-342.3293973453207,0.9304299999995442
147,-298.0947390328406,0.9299099999995408
148,-190.50291170932616,0.9295449999995384
149,-134.25904037681315,0.9291449999995358
150,-109.64723119551702,0.9287999999995336
151,-204.07858869057264,0.9283299999995305
152,-292.05159736323236,0.9277699999995268
153,-110.52813566454583,0.9272749999995236
154,-58.59918951058995,0.9267549999995202
155,-273.16228854667304,0.9260649999995156
156,-93.83065182632208,0.9255749999995124
157,-64.66898805288146,0.9252549999995103
158,-154.40850499652134,0.9247199999995068
159,-106.71173905771461,0.9241899999995034
160,-177.0251452058884,0.9238049999995008
161,-54.92452593554729,0.9234199999994983
162,-73.25931104028479,0.9231199999994963
163,-376.5755246646943,0.9226549999994933
164,-106.7648099695048,0.9221349999994899
165,-68.92611657359438,0.9216549999994867
166,-99.74278146673036,0.9211149999994832
167,-184.1774610037417,0.9203749999994784
168,-64.83409124165107,0.9199649999994757
169,16.9365872086817,0.9195199999994728
170,-136.93029496496166,0.9189849999994693
171,-110.42731175767328,0.9186249999994669
